MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1913963	Actr2	ARP2 actin-related protein 2	11		meiotic cytokinesis	happens in oocyte		IGI	MGI:1921367 	J:172280 	
MGI:1913963	Actr2	ARP2 actin-related protein 2	11		spindle localization	happens in oocyte		IGI	MGI:1921367 	J:172280 	
MGI:1921367	Actr3	ARP3 actin-related protein 3	1		meiotic cell cycle			IGI	MGI:1913963 	J:172280 	
MGI:1921367	Actr3	ARP3 actin-related protein 3	1		meiotic chromosome movement towards spindle pole			IGI	MGI:1913963 	J:195195 	
MGI:1921367	Actr3	ARP3 actin-related protein 3	1		meiotic cytokinesis	happens in oocyte		IGI	MGI:1913963 	J:172280 	
MGI:1921367	Actr3	ARP3 actin-related protein 3	1		spindle localization	happens in oocyte		IGI	MGI:1913963 	J:172280 	
MGI:1860775	Actr8	ARP8 actin-related protein 8	14		cell cycle			IEA	KW-0131 	J:60000 	
MGI:1891654	Actr10	ARP10 actin-related protein 10	12		establishment of mitotic spindle orientation			IBA	PTN000233665 	J:265628 	
MGI:87911	Acvr1	activin A receptor, type 1	2		G1/S transition of mitotic cell cycle			ISO	Q04771 	J:164563 	
MGI:1338944	Acvr1b	activin A receptor, type 1B	15		G1/S transition of mitotic cell cycle			ISO	P36896 	J:164563 	
MGI:1096335	Adam17	a disintegrin and metallopeptidase domain 17	12		positive regulation of cyclin-dependent protein serine/threonine kinase activity			ISO	P78536 	J:164563 	
MGI:1096335	Adam17	a disintegrin and metallopeptidase domain 17	12		positive regulation of G1/S transition of mitotic cell cycle			ISO	P78536 	J:164563 	
MGI:109249	Adamts1	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 1	16		positive regulation of G1/S transition of mitotic cell cycle			ISO	Q9UHI8 	J:164563 	
MGI:891999	Adarb1	adenosine deaminase, RNA-specific, B1	10		regulation of cell cycle			ISO	P78563 	J:164563 	
MGI:105094	Adcyap1	adenylate cyclase activating polypeptide 1	17		negative regulation of cell cycle			IDA		J:79998 	
MGI:2147658	Afap1l2	actin filament associated protein 1-like 2	19		regulation of mitotic cell cycle			IBA	PTN002682769 	J:265628 	
MGI:2147658	Afap1l2	actin filament associated protein 1-like 2	19		regulation of mitotic cell cycle			ISO	Q8N4X5 	J:164563 	
MGI:1924100	Ago4	argonaute RISC catalytic subunit 4	4		male meiotic nuclear division			IMP	MGI:5438526 	J:187588 	
MGI:1924100	Ago4	argonaute RISC catalytic subunit 4	4		synaptonemal complex assembly			IMP	MGI:5438526 	J:187588 	
MGI:1915033	Ahctf1	AT hook containing transcription factor 1	1		cell cycle			IEA	KW-0131 	J:60000 	
MGI:1915033	Ahctf1	AT hook containing transcription factor 1	1		regulation of cytokinesis			ISO	Q8WYP5 	J:164563 	
MGI:105043	Ahr	aryl-hydrocarbon receptor	12		cell cycle			IEA	KW-0131 	J:60000 	
MGI:1342279	Aicda	activation-induced cytidine deaminase	6		regulation of nuclear cell cycle DNA replication			ISO	Q9GZX7 	J:164563 	
MGI:1343098	Aif1	allograft inflammatory factor 1	17		positive regulation of G1/S transition of mitotic cell cycle			ISO	P55008 	J:164563 	
MGI:1341886	Ajuba	ajuba LIM protein	14		cell cycle			IEA	KW-0131 	J:60000 	
MGI:87977	Ak1	adenylate kinase 1	2		cell cycle arrest			IDA		J:66300 	
MGI:1928488	Akap8	A kinase (PRKA) anchor protein 8	17		cell cycle G2/M phase transition			ISO	O43823 	J:164563 	
MGI:1928488	Akap8	A kinase (PRKA) anchor protein 8	17		mitotic chromosome condensation			IDA		J:94339 	
MGI:1928488	Akap8	A kinase (PRKA) anchor protein 8	17		mitotic chromosome condensation			ISO	O43832 	J:73065 	
MGI:1860606	Akap8l	A kinase (PRKA) anchor protein 8-like	17		cell cycle G2/M phase transition			ISO	Q9ULX6 	J:164563 	
MGI:1860606	Akap8l	A kinase (PRKA) anchor protein 8-like	17		mitotic chromosome condensation			ISO	Q9ULX6 	J:164563 	
MGI:87986	Akt1	thymoma viral proto-oncogene 1	12		positive regulation of cyclin-dependent protein serine/threonine kinase activity			ISO	P31749 	J:164563 	
MGI:87986	Akt1	thymoma viral proto-oncogene 1	12		positive regulation of G1/S transition of mitotic cell cycle			ISO	P31749 	J:164563 	
MGI:1919291	Alkbh4	alkB homolog 4, lysine demethylase	5		cleavage furrow ingression			ISO	Q9NXW9 	J:164563 	
MGI:1934606	Alms1	ALMS1, centrosome and basal body associated	6		regulation of centriole replication			IBA	PTN000489313 	J:265628 	
MGI:1098228	Alox8	arachidonate 8-lipoxygenase	11		negative regulation of cell cycle			ISO	O15296 	J:164563 	
MGI:103097	Anapc1	anaphase promoting complex subunit 1	2		cell cycle			IEA	KW-0131 	J:60000 	
MGI:103097	Anapc1	anaphase promoting complex subunit 1	2		metaphase/anaphase transition of mitotic cell cycle			IBA	PTN000302700 	J:265628 	
MGI:2139135	Anapc2	anaphase promoting complex subunit 2	2		cell cycle			IEA	KW-0131 	J:60000 	
MGI:1098673	Anapc4	anaphase promoting complex subunit 4	5		cell cycle			IEA	KW-0131 	J:60000 	
MGI:1098673	Anapc4	anaphase promoting complex subunit 4	5		positive regulation of mitotic metaphase/anaphase transition			IBA	PTN000327403 	J:265628 	
MGI:1098673	Anapc4	anaphase promoting complex subunit 4	5		regulation of mitotic metaphase/anaphase transition			IEA	IPR017169 IPR024789 	J:72247 	
MGI:1929722	Anapc5	anaphase-promoting complex subunit 5	5		cell cycle			IEA	KW-0131 	J:60000 	
MGI:1929722	Anapc5	anaphase-promoting complex subunit 5	5		positive regulation of mitotic metaphase/anaphase transition			IBA	PTN000302880 	J:265628 	
MGI:1929711	Anapc7	anaphase promoting complex subunit 7	5		cell cycle			IEA	KW-0131 	J:60000 	
MGI:1916249	Anapc10	anaphase promoting complex subunit 10	8		cell cycle			IEA	KW-0131 	J:60000 	
MGI:1913406	Anapc11	anaphase promoting complex subunit 11	11		cell cycle			IEA	KW-0131 	J:60000 	
MGI:1913406	Anapc11	anaphase promoting complex subunit 11	11		positive regulation of mitotic metaphase/anaphase transition			IBA	PTN000129916 	J:265628 	
MGI:1916260	Anapc13	anaphase promoting complex subunit 13	9		cell cycle			IEA	KW-0131 	J:60000 	
MGI:1922680	Anapc15	anaphase promoting complex C subunit 15	7		cell cycle			IEA	KW-0131 	J:60000 	
MGI:1922680	Anapc15	anaphase promoting complex C subunit 15	7		regulation of mitotic cell cycle spindle assembly checkpoint			IBA	PTN001096157 	J:265628 	
MGI:1289325	Anapc16	anaphase promoting complex subunit 16	10		cell cycle			IEA	KW-0131 	J:60000 	
MGI:1196310	Angel2	angel homolog 2	1		negative regulation of mitotic cell cycle			ISO	Q5VTE6 	J:164563 	
MGI:88026	Ank3	ankyrin 3, epithelial	10		mitotic cytokinesis			ISO	Q12955 	J:164563 	
MGI:3045301	Ankk1	ankyrin repeat and kinase domain containing 1	9		regulation of cell cycle process	happens in forebrain neuroblast		IDA		J:262004 	
MGI:3045301	Ankk1	ankyrin repeat and kinase domain containing 1	9		regulation of cell cycle process			ISO	Q8NFD2 	J:262004 	
MGI:1261856	Ankle2	ankyrin repeat and LEM domain containing 2	5		cell cycle			IEA	KW-0131 	J:60000 	
MGI:1261856	Ankle2	ankyrin repeat and LEM domain containing 2	5		mitotic nuclear envelope reassembly			IBA	PTN000469495 	J:265628 	
MGI:1261856	Ankle2	ankyrin repeat and LEM domain containing 2	5		mitotic nuclear envelope reassembly			ISO	Q86XL3 	J:164563 	
MGI:1932101	Ankrd17	ankyrin repeat domain 17	5		positive regulation of cell cycle			ISO	O75179 	J:164563 	
MGI:1932101	Ankrd17	ankyrin repeat domain 17	5		positive regulation of G1/S transition of mitotic cell cycle			ISO	O75179 	J:164563 	
MGI:5006716	Ankrd31	ankyrin repeat domain 31	13		meiotic cell cycle			IEA	KW-0469 	J:60000 	
MGI:5006716	Ankrd31	ankyrin repeat domain 31	13		meiotic DNA double-strand break formation involved in reciprocal meiotic recombination			IMP		J:276385 J:276412 	
MGI:5006716	Ankrd31	ankyrin repeat domain 31	13		positive regulation of meiotic DNA double-strand break formation			IMP		J:276385 J:276412 	
MGI:5006716	Ankrd31	ankyrin repeat domain 31	13		synapsis			IMP		J:276385 J:276412 	
MGI:1922555	Ankrd53	ankyrin repeat domain 53	6		cell cycle			IEA	KW-0131 	J:60000 	
MGI:1922555	Ankrd53	ankyrin repeat domain 53	6		mitotic metaphase plate congression			ISO	Q8N9V6 	J:164563 	
MGI:1922555	Ankrd53	ankyrin repeat domain 53	6		regulation of mitotic cytokinesis			ISO	Q8N9V6 	J:164563 	
MGI:1922555	Ankrd53	ankyrin repeat domain 53	6		regulation of mitotic spindle organization			ISO	Q8N9V6 	J:164563 	
MGI:1920174	Anln	anillin, actin binding protein	9		actomyosin contractile ring assembly			IBA	PTN001853010 	J:265628 	
MGI:1920174	Anln	anillin, actin binding protein	9		cell cycle			IEA	KW-0131 	J:60000 	
MGI:1920174	Anln	anillin, actin binding protein	9		mitotic cytokinesis			IBA	PTN001853010 	J:265628 	
MGI:1920174	Anln	anillin, actin binding protein	9		mitotic cytokinesis			ISO	Q9NQW6 	J:73065 	
MGI:1920174	Anln	anillin, actin binding protein	9		protein localization to mitotic actomyosin contractile ring			IBA	PTN001853010 	J:265628 	
MGI:1914878	Anp32b	acidic (leucine-rich) nuclear phosphoprotein 32 family, member B	4		G1/S transition of mitotic cell cycle			ISO	AB025581 	J:74709 	
MGI:1914878	Anp32b	acidic (leucine-rich) nuclear phosphoprotein 32 family, member B	4		positive regulation of G1/S transition of mitotic cell cycle			ISO	RGD:621285 	J:155856 	
MGI:96819	Anxa1	annexin A1	19		positive regulation of G1/S transition of mitotic cell cycle			IBA	PTN002574794 	J:265628 	
MGI:96819	Anxa1	annexin A1	19		positive regulation of G1/S transition of mitotic cell cycle			IMP	MGI:2449710 	J:83336 	
MGI:108481	Anxa11	annexin A11	14		cell cycle			IEA	KW-0131 	J:60000 	
MGI:108481	Anxa11	annexin A11	14		cytokinetic process			IBA	PTN002574813 	J:265628 	
MGI:108481	Anxa11	annexin A11	14		cytokinetic process			ISO	P50995 	J:164563 	
MGI:107765	Apbb1	amyloid beta (A4) precursor protein-binding, family B, member 1	7		cell cycle arrest			IDA		J:113984 	
MGI:108405	Apbb2	amyloid beta (A4) precursor protein-binding, family B, member 2	5		cell cycle arrest			IDA		J:113984 	
MGI:88039	Apc	APC, WNT signaling pathway regulator	18		cell cycle arrest			ISO	P25054 	J:164563 	
MGI:88039	Apc	APC, WNT signaling pathway regulator	18		metaphase/anaphase transition of mitotic cell cycle	happens in small intestine,happens in epithelial cell|happens in hematopoietic stem cell		IGI	MGI:1333889 	J:97036 	
MGI:88039	Apc	APC, WNT signaling pathway regulator	18		metaphase/anaphase transition of mitotic cell cycle	happens in hematopoietic stem cell|happens in small intestine,happens in epithelial cell		IMP	MGI:1856318 	J:97036 	
MGI:88039	Apc	APC, WNT signaling pathway regulator	18		metaphase/anaphase transition of mitotic cell cycle	happens in thymus,happens in immature T cell		IMP	MGI:3589207 	J:100461 	
MGI:88039	Apc	APC, WNT signaling pathway regulator	18		mitotic cytokinesis	happens in small intestine crypt of lieberkuhn		IMP	MGI:1856318 	J:134792 	
MGI:88039	Apc	APC, WNT signaling pathway regulator	18		mitotic cytokinesis	happens in intestine epithelium,happens in epithelial cell		IMP	MGI:1857951 	J:125809 	
MGI:88039	Apc	APC, WNT signaling pathway regulator	18		mitotic cytokinesis			ISO	P25054 	J:73065 	
MGI:88039	Apc	APC, WNT signaling pathway regulator	18		mitotic spindle assembly checkpoint			ISO	P25054 	J:73065 	
MGI:88039	Apc	APC, WNT signaling pathway regulator	18		negative regulation of cyclin-dependent protein serine/threonine kinase activity			ISO	P25054 	J:164563 	
MGI:88039	Apc	APC, WNT signaling pathway regulator	18		regulation of attachment of spindle microtubules to kinetochore			IMP		J:119076 	
MGI:88039	Apc	APC, WNT signaling pathway regulator	18		regulation of attachment of spindle microtubules to kinetochore			ISO	P25054 	J:73065 	
MGI:88039	Apc	APC, WNT signaling pathway regulator	18		regulation of cell cycle	happens in intestine		IMP	MGI:1856318 	J:37447 	
MGI:88042	Apex1	apurinic/apyrimidinic endonuclease 1	14		positive regulation of G1/S transition of mitotic cell cycle			ISO	RGD:2126 	J:155856 	
MGI:1924872	Apex2	apurinic/apyrimidinic endonuclease 2	X		cell cycle			IEA	KW-0131 	J:60000 	
MGI:88059	App	amyloid beta (A4) precursor protein	16		positive regulation of G2/M transition of mitotic cell cycle	regulates a function/process that happens in cerebral cortex ventricular layer,regulates a function/process that happens in neuroblast		IMP	MGI:2154535 	J:95286 	
MGI:88059	App	amyloid beta (A4) precursor protein	16		positive regulation of mitotic cell cycle	regulates a function/process that happens in cerebral cortex ventricular layer,regulates a function/process that happens in neuroblast		IMP	MGI:2154535 	J:95286 	
MGI:1920243	Appl1	adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 1	14		cell cycle			IEA	KW-0131 	J:60000 	
MGI:2384914	Appl2	adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 2	10		cell cycle			IEA	KW-0131 	J:60000 	
MGI:99431	Arf1	ADP-ribosylation factor 1	11		mitotic cleavage furrow ingression			IGI	P61209 	J:240324 	
MGI:99435	Arf6	ADP-ribosylation factor 6	12		cell cycle			IEA	KW-0131 	J:60000 	
MGI:103264	Arhgef2	rho/rac guanine nucleotide exchange factor (GEF) 2	3		cell cycle			IEA	KW-0131 	J:60000 	
MGI:103264	Arhgef2	rho/rac guanine nucleotide exchange factor (GEF) 2	3		establishment of mitotic spindle orientation			IMP		J:161097 	
MGI:2444453	Arhgef10	Rho guanine nucleotide exchange factor (GEF) 10	8		centrosome duplication			ISO	O15013 	J:164563 	
MGI:2444453	Arhgef10	Rho guanine nucleotide exchange factor (GEF) 10	8		mitotic spindle assembly			IBA	PTN000306012 	J:265628 	
MGI:2444453	Arhgef10	Rho guanine nucleotide exchange factor (GEF) 10	8		mitotic spindle assembly			ISO	O15013 	J:164563 	
MGI:1928393	Arl2	ADP-ribosylation factor-like 2	19		cell cycle			IEA	KW-0131 	J:60000 	
MGI:1928393	Arl2	ADP-ribosylation factor-like 2	19		centrosome cycle			ISO	P36404 	J:164563 	
MGI:1929699	Arl3	ADP-ribosylation factor-like 3	19		cell cycle			IEA	KW-0131 	J:60000 	
MGI:1929699	Arl3	ADP-ribosylation factor-like 3	19		mitotic cytokinesis			ISO	P36405 	J:164563 	
MGI:1915974	Arl8a	ADP-ribosylation factor-like 8A	1		cell cycle			IEA	KW-0131 	J:60000 	
MGI:1914416	Arl8b	ADP-ribosylation factor-like 8B	6		cell cycle			IEA	KW-0131 	J:60000 	
MGI:1096381	Arntl	aryl hydrocarbon receptor nuclear translocator-like	7		regulation of cell cycle			IMP		J:206844 	
MGI:1891691	Arpp19	cAMP-regulated phosphoprotein 19	9		cell cycle			IEA	KW-0131 	J:60000 	
MGI:1891691	Arpp19	cAMP-regulated phosphoprotein 19	9		G2/M transition of mitotic cell cycle			ISO	P56211 	J:164563 	
MGI:1891691	Arpp19	cAMP-regulated phosphoprotein 19	9		mitotic cell cycle			ISO	P56211 	J:164563 	
MGI:1859310	Asah2	N-acylsphingosine amidohydrolase 2	19		regulation of mitotic cell cycle			ISO	Q9NR71 	J:164563 	
MGI:96919	Ascl1	achaete-scute family bHLH transcription factor 1	10		positive regulation of cell cycle			IDA		J:171415 	
MGI:96919	Ascl1	achaete-scute family bHLH transcription factor 1	10		regulation of mitotic cell cycle	regulates a function/process that happens in diencephalon,regulates a function/process that happens in neuron		IMP	MGI:1857470 	J:188110 	
MGI:1350929	Asns	asparagine synthetase	6		positive regulation of mitotic cell cycle			ISO	P08243 	J:164563 	
MGI:1334448	Aspm	abnormal spindle microtubule assembly	1		cell cycle			IEA	KW-0131 	J:60000 	
MGI:1334448	Aspm	abnormal spindle microtubule assembly	1		regulation of meiotic cell cycle			IMP		J:211101 	
MGI:1334448	Aspm	abnormal spindle microtubule assembly	1		spindle assembly involved in meiosis	happens in oocyte		IMP		J:211101 	
MGI:1334448	Aspm	abnormal spindle microtubule assembly	1		spindle localization			ISO	Q8IZT6 	J:164563 	
MGI:1334448	Aspm	abnormal spindle microtubule assembly	1		spindle organization			ISO	Q8IZT6 	J:164563 	
MGI:1921318	Asz1	ankyrin repeat, SAM and basic leucine zipper domain containing 1	6		male meiotic nuclear division			IMP		J:152071 	
MGI:1921318	Asz1	ankyrin repeat, SAM and basic leucine zipper domain containing 1	6		meiotic cell cycle			IEA	KW-0469 	J:60000 	
MGI:2442925	Atad5	ATPase family, AAA domain containing 5	11		nuclear DNA replication	is a part of B cell proliferation,happens in B cell		IMP	MGI:4127920 	J:230702 	
MGI:2442925	Atad5	ATPase family, AAA domain containing 5	11		positive regulation of cell cycle G2/M phase transition			ISO	Q96QE3 	J:164563 	
MGI:2442925	Atad5	ATPase family, AAA domain containing 5	11		regulation of mitotic cell cycle phase transition			IMP	MGI:4127920 	J:230702 	
MGI:109349	Atf2	activating transcription factor 2	2		intra-S DNA damage checkpoint			ISO	P15336 	J:164563 	
MGI:2141857	Atf5	activating transcription factor 5	7		negative regulation of cell cycle G2/M phase transition			ISO	Q9Y2D1 	J:164563 	
MGI:2141857	Atf5	activating transcription factor 5	7	NOT	regulation of cell cycle			IDA		J:78041 	
MGI:2141857	Atf5	activating transcription factor 5	7		regulation of centrosome cycle			ISO	Q9Y2D1 	J:164563 	
MGI:107202	Atm	ataxia telangiectasia mutated	9		cell cycle			IEA	KW-0131 	J:60000 	
MGI:107202	Atm	ataxia telangiectasia mutated	9		cell cycle arrest			ISO	Q13315 	J:164563 	
MGI:107202	Atm	ataxia telangiectasia mutated	9		chromosome organization involved in meiotic cell cycle			IMP	MGI:1926343 	J:35914 	
MGI:107202	Atm	ataxia telangiectasia mutated	9		DNA damage checkpoint			IBA	PTN001673294 	J:265628 	
MGI:107202	Atm	ataxia telangiectasia mutated	9		DNA damage checkpoint			IMP		J:86382 	
MGI:107202	Atm	ataxia telangiectasia mutated	9		female meiotic nuclear division			IMP	MGI:1926343 	J:35914 	
MGI:107202	Atm	ataxia telangiectasia mutated	9		male meiotic nuclear division			IMP	MGI:1926343 	J:35914 	
MGI:107202	Atm	ataxia telangiectasia mutated	9		meiotic telomere clustering			IMP	MGI:1857132 	J:147391 	
MGI:107202	Atm	ataxia telangiectasia mutated	9		mitotic spindle assembly checkpoint			ISO	Q13315 	J:164563 	
MGI:107202	Atm	ataxia telangiectasia mutated	9		regulation of cell cycle			ISO	RGD:1593265 	J:155856 	
MGI:107202	Atm	ataxia telangiectasia mutated	9		signal transduction involved in mitotic G2 DNA damage checkpoint			ISO	Q13315 	J:164563 	
MGI:88111	Atp2b4	ATPase, Ca++ transporting, plasma membrane 4	1		regulation of cell cycle G1/S phase transition			ISO	P23634 	J:164563 	
MGI:108028	Atr	ataxia telangiectasia and Rad3 related	9		DNA damage checkpoint			IBA	PTN001673376 	J:265628 	
MGI:108028	Atr	ataxia telangiectasia and Rad3 related	9		DNA damage checkpoint			IMP		J:86382 	
MGI:108028	Atr	ataxia telangiectasia and Rad3 related	9		DNA damage checkpoint			ISO	Q13535 	J:164563 	
MGI:1925349	Atrip	ATR interacting protein	9		DNA damage checkpoint			IBA	PTN002408403 	J:265628 	
MGI:103067	Atrx	ATRX, chromatin remodeler	X		chromosome organization involved in meiotic cell cycle			IMP		J:92329 	
MGI:103067	Atrx	ATRX, chromatin remodeler	X		meiotic spindle organization			IMP		J:92329 	
MGI:103067	Atrx	ATRX, chromatin remodeler	X		negative regulation of maintenance of mitotic sister chromatid cohesion, telomeric			ISO	P46100 	J:164563 	
MGI:103067	Atrx	ATRX, chromatin remodeler	X		positive regulation of nuclear cell cycle DNA replication			IMP		J:209584 	
MGI:1917135	Aunip	aurora kinase A and ninein interacting protein	4		spindle organization			IBA	PTN000376927 	J:265628 	
MGI:1917135	Aunip	aurora kinase A and ninein interacting protein	4		spindle organization			ISO	Q9H7T9 	J:164563 	
MGI:894678	Aurka	aurora kinase A	2		cell cycle			IEA	KW-0131 	J:60000 	
MGI:894678	Aurka	aurora kinase A	2		centrosome cycle	happens in fibroblast		IGI	MGI:1932915 	J:117672 	
MGI:894678	Aurka	aurora kinase A	2		meiotic cell cycle			IMP		J:169782 	
MGI:894678	Aurka	aurora kinase A	2		meiotic spindle organization	happens in oocyte		IMP		J:91037 	
MGI:894678	Aurka	aurora kinase A	2		mitotic cell cycle			IMP		J:97428 J:196491 	
MGI:894678	Aurka	aurora kinase A	2		mitotic centrosome separation			IGI	MGI:1932915 	J:117672 	
MGI:894678	Aurka	aurora kinase A	2		mitotic centrosome separation	happens in fibroblast|happens in early embryonic cell		IMP	MGI:3836423 	J:145744 	
MGI:894678	Aurka	aurora kinase A	2		mitotic spindle organization			IBA	PTN000681967 	J:265628 	
MGI:894678	Aurka	aurora kinase A	2		mitotic spindle organization	happens in mouse		IMP	MGI:3826513 	J:143099 	
MGI:894678	Aurka	aurora kinase A	2		mitotic spindle organization	happens in early embryonic cell		IMP	MGI:5498678 	J:198479 	
MGI:894678	Aurka	aurora kinase A	2		negative regulation of spindle checkpoint			IMP	MGI:3836423 	J:145744 	
MGI:894678	Aurka	aurora kinase A	2		regulation of cytokinesis			IBA	PTN000681967 	J:265628 	
MGI:894678	Aurka	aurora kinase A	2		spindle assembly involved in female meiosis I	happens in secondary oocyte		IMP		J:169782 	
MGI:894678	Aurka	aurora kinase A	2		spindle organization			ISO	O14965 	J:164563 	
MGI:107168	Aurkb	aurora kinase B	11		cell cycle			IEA	KW-0131 	J:60000 	
MGI:107168	Aurkb	aurora kinase B	11		cleavage furrow formation			ISO	RGD:621625 	J:155856 	
MGI:107168	Aurkb	aurora kinase B	11		cleavage furrow formation			ISO	Q96GD4 	J:164563 	
MGI:107168	Aurkb	aurora kinase B	11		mitotic spindle assembly checkpoint			IEA	IPR028772 	J:72247 	
MGI:107168	Aurkb	aurora kinase B	11		mitotic spindle midzone assembly			ISO	Q96GD4 	J:164563 	
MGI:107168	Aurkb	aurora kinase B	11		mitotic spindle organization			IBA	PTN000681967 	J:265628 	
MGI:107168	Aurkb	aurora kinase B	11		positive regulation of cytokinesis			ISO	Q96GD4 	J:164563 	
MGI:107168	Aurkb	aurora kinase B	11		regulation of cytokinesis			IBA	PTN000681967 	J:265628 	
MGI:107168	Aurkb	aurora kinase B	11		spindle organization			ISO	Q96GD4 	J:164563 	
MGI:1321119	Aurkc	aurora kinase C	7		cell cycle			IEA	KW-0131 	J:60000 	
MGI:1321119	Aurkc	aurora kinase C	7		meiotic cell cycle			IEA	IPR030613 	J:72247 	
MGI:1321119	Aurkc	aurora kinase C	7		meiotic cell cycle			IEA	KW-0469 	J:60000 	
MGI:1321119	Aurkc	aurora kinase C	7		mitotic spindle organization			IBA	PTN000681967 	J:265628 	
MGI:1321119	Aurkc	aurora kinase C	7		regulation of cytokinesis			IBA	PTN000681967 	J:265628 	
MGI:1321119	Aurkc	aurora kinase C	7		spindle midzone assembly			IEA	IPR030613 	J:72247 	
MGI:1916784	Avpi1	arginine vasopressin-induced 1	19		cell cycle			IEA	KW-0131 	J:60000 	
MGI:1270862	Axin2	axin 2	11		regulation of centromeric sister chromatid cohesion			IMP		J:164744 	
MGI:1270862	Axin2	axin 2	11		regulation of centromeric sister chromatid cohesion			ISO	Q9Y2T1 	J:164563 	
